BHK,sector,price,SuperArea,floor,Furnishing,facing,Car_Parking,Bathroom,Balcony,overlooking,city
2,JP Nagar,0.809,1103.0,1,Unfurnished,East,available,2,2,Main Road,Bangalore
3,Outer Ring Road,2.34,1664.0,5,Unfurnished,East,available,3,2,Main Road,Bangalore
3,Sarjapura,2.0,1454.0,10+,Semi-Furnished,East,available,2,2,"Garden/Park, Main Road, Pool",Bangalore
3,others,3.5,2100.0,2,Unfurnished,East,not sure,3,4,Main Road,Bangalore
4,JP Nagar,4.5,3545.0,10+,Unfurnished,East,not sure,4+,3,"Garden/Park, Main Road, Pool",Bangalore
2,others,0.92,1028.0,6,Unfurnished,East,not sure,2,1,Garden/Park,Bangalore
2,others,0.68,1150.0,1,Unfurnished,East,available,2,2,Main Road,Bangalore
2,others,0.52,1250.0,2,Unfurnished,North,not sure,2,2,"Garden/Park, Main Road",Bangalore
3,others,2.65,2305.0,10+,Semi-Furnished,North,available,3,1,Garden/Park,Bangalore
3,others,1.4,1850.0,1,Unfurnished,East,not sure,3,2,Main Road,Bangalore
3,Hennur Main Road,1.65,1740.0,10+,Semi-Furnished,West,not sure,3,1,"Garden/Park, Main Road, Pool",Bangalore
3,others,1.3,1458.0,7,Unfurnished,East,not sure,2,1,Garden/Park,Bangalore
2,Whitefield,1.19,1240.0,3,Unfurnished,East,available,2,1,Main Road,Bangalore
3,others,1.36,1596.0,9,Unfurnished,East,available,3,3,"Garden/Park, Main Road, Pool",Bangalore
3,Jayanagar,2.4,2100.0,1,Unfurnished,East,available,3,2,Main Road,Bangalore
2,others,0.74,1010.0,5,Unfurnished,North,available,2,1,Garden/Park,Bangalore
2,Yelahanka,0.531,1106.0,10+,Semi-Furnished,North,available,2,1,Main Road,Bangalore
3,Whitefield,6.0,4100.0,10+,Semi-Furnished,East,available,4,1,Garden/Park,Bangalore
3,Whitefield,4.79,2753.0,10+,Unfurnished,East,available,3,1,Garden/Park,Bangalore
3,others,2.8,2200.0,2,Unfurnished,East,available,3,1,Garden/Park,Bangalore
3,others,1.7,1940.0,10+,Unfurnished,East,available,4,2,"Garden/Park, Main Road",Bangalore
3,others,4.75,2542.0,9,Unfurnished,East,available,4,2,"Garden/Park, Main Road, Pool",Bangalore
3,others,1.91,1504.0,4,Unfurnished,North,available,3,2,Garden/Park,Bangalore
4,others,1.94,2037.0,10+,Unfurnished,North,available,3,3,Garden/Park,Bangalore
3,Outer Ring Road,0.77,1300.0,1,Unfurnished,East,not sure,2,2,Main Road,Bangalore
3,Whitefield,2.84,2147.0,5,Unfurnished,North,available,3,2,Main Road,Bangalore
3,Hennur Main Road,3.6,2628.0,10,Unfurnished,East,available,3,2,Garden/Park,Bangalore
2,others,1.55,1425.0,10+,Unfurnished,East,available,2,1,"Garden/Park, Main Road",Bangalore
3,Whitefield,0.989,1374.0,3,Unfurnished,East,available,2,1,Garden/Park,Bangalore
4,others,2.5,2400.0,10,Unfurnished,East,available,4,2,Garden/Park,Bangalore
2,Sarjapur Road,0.757,1326.0,2,Unfurnished,East,available,2,2,Garden/Park,Bangalore
3,others,6.2,2150.0,6,Unfurnished,North,available,3,3,"Garden/Park, Main Road, Pool",Bangalore
3,others,2.05,1949.0,10+,Unfurnished,East,available,3,2,"Garden/Park, Main Road, Pool",Bangalore
2,others,1.18,1131.0,10,Unfurnished,East,available,2,1,Garden/Park,Bangalore
3,others,2.85,1804.0,10+,Unfurnished,East,available,3,2,"Garden/Park, Main Road",Bangalore
4,others,4.42,3181.0,10+,Semi-Furnished,North,available,4,1,Garden/Park,Bangalore
2,others,0.593,1119.0,2,Unfurnished,East,not sure,2,2,Main Road,Bangalore
4,others,8.0,4287.0,3,Unfurnished,East,available,4+,3,Main Road,Bangalore
3,others,2.26,2486.0,5,Semi-Furnished,North,not sure,3,3,"Garden/Park, Main Road, Pool",Bangalore
3,Thanisandra,2.9,1685.0,10+,Unfurnished,East,available,3,1,"Garden/Park, Main Road",Bangalore
2,Whitefield,0.86,1089.0,5,Unfurnished,East,not sure,2,1,"Garden/Park, Pool",Bangalore
2,others,0.949,1261.0,10,Unfurnished,North,available,2,2,"Garden/Park, Pool",Bangalore
3,Whitefield,3.95,2460.0,10+,Unfurnished,North - West,not sure,4,1,"Garden/Park, Main Road, Pool",Bangalore
3,others,1.45,1429.0,10,Unfurnished,East,not sure,3,1,Main Road,Bangalore
2,Hennur Main Road,0.836,1177.0,4,Unfurnished,North,available,2,1,"Garden/Park, Main Road, Pool",Bangalore
2,others,0.6,744.0,8,Unfurnished,East,not sure,2,1,"Garden/Park, Main Road",Bangalore
3,others,1.1,1593.0,2,Unfurnished,North - East,available,3,3,Main Road,Bangalore
3,others,0.99,1382.0,2,Unfurnished,West,available,3,1,"Garden/Park, Main Road, Pool",Bangalore
3,others,1.25,1334.0,8,Unfurnished,North,not sure,3,1,Garden/Park,Bangalore
3,others,1.9,1650.0,4,Unfurnished,East,available,3,3,Garden/Park,Bangalore
3,others,2.7,2465.0,10,Unfurnished,West,available,4,2,"Garden/Park, Main Road, Pool",Bangalore
2,others,0.7,838.0,5,Unfurnished,East,available,2,1,Garden/Park,Bangalore
3,others,6.2,4100.0,10+,Semi-Furnished,West,available,4,2,"Garden/Park, Pool",Bangalore
3,Hennur Main Road,2.58,2628.0,10+,Unfurnished,East,available,3,1,Garden/Park,Bangalore
3,HSR Layout,2.59,1850.0,7,Unfurnished,East,not sure,3,3,"Garden/Park, Main Road, Pool",Bangalore
3,others,1.8,1948.0,9,Unfurnished,East,not sure,4,2,"Garden/Park, Pool",Bangalore
2,Hennur Main Road,1.3,1197.0,1,Furnished,East,available,2,1,"Garden/Park, Main Road, Pool",Bangalore
3,others,1.56,1705.0,10+,Semi-Furnished,North - East,available,3,2,"Garden/Park, Main Road, Pool",Bangalore
3,others,0.92,1510.0,2,Unfurnished,North,available,2,1,Main Road,Bangalore
2,Bagaluru,0.75,831.0,2,Unfurnished,East,not sure,3,1,Main Road,Bangalore
3,Thanisandra Main Road,2.65,1960.0,10+,Unfurnished,North,not sure,3,2,"Garden/Park, Pool",Bangalore
3,others,2.5,2026.0,3,Semi-Furnished,North,not sure,3,4+,Garden/Park,Bangalore
